Calicata,Este,Norte,Densidad
101,172606,9066510,1.66
103,172987,9066534,1.63
105,173320,9066477,1.7
107,172713,9066694,1.69
110,173170,9066789,1.68
112,172731,9066917,1.63
116,173433,9067155,1.58
127,172317,9066884,1.5
128,172423,9066880,1.57
129,172332,9066803,1.5
131,172333,9066710,1.62
136,173342,9066971,1.68
137,173652,9066878,1.69
138,173626,9066475,1.67
143,173642,9066747,1.65
151,173629,9067427,1.54
153,172384,9067114,1.5
154,172414,9067113,1.55
155,172436,9067196,1.58
157,172304,9067079,1.9
163,172481,9067602,1.6
181,173032,9067973,1.65
188,172717,9067738,1.55
190,172767,9068000,1.56
192,172983,9067732,1.52
205,172589,9065931,1.66
209,172782,9066153,1.65
216,173029,9065792,1.8
218,173072,9066031,1.61
227,173427,9066058,1.59
231,173710,9067703,1.73
239,174270,9067643,1.63
242,174639,9067674,1.73
245,174057,9067338,1.8
247,173961,9067125,1.6
249,174272,9067191,1.66
255,173929,9066851,1.61
259,174696,9067184,1.9
263,174510,9066970,1.58
265,174271,9066789,1.54
145,173690,9067219,1.77
146,173614,9067153,1.76
148,173610,9067330,1.75
164,172703,9068411,2.02
168,173098,9068425,1.69
171,172944,9068224,1.51
174,172844,9068234,1.65
177,172861,9068413,1.67
180,173152,9068533,1.71
184,173176,9068786,1.71
185,173060,9068672,1.6
